x_mm,y_mm,height_mm,biomass,eps,active_sediment_mm,layer_id
18.000000,5.000000,11.709355,0.182150,0.181562,0.291793,8.000000
19.000000,5.000000,11.712560,0.182153,0.181563,0.285573,9.000000
20.000000,5.000000,11.720558,0.182155,0.181563,0.283119,8.000000
21.000000,5.000000,11.728209,0.182168,0.181566,0.280439,8.000000
22.000000,5.000000,11.721526,0.091003,0.072254,0.114976,8.000000
23.000000,5.000000,11.732245,0.182174,0.181570,0.280102,8.000000
24.000000,5.000000,11.730360,0.182166,0.181569,0.287433,8.000000
25.000000,5.000000,11.725686,0.182166,0.181571,0.287639,9.000000
26.000000,5.000000,11.724378,0.182169,0.181573,0.283819,9.000000
27.000000,5.000000,11.722810,0.182170,0.181574,0.284814,8.000000
28.000000,5.000000,11.724398,0.182171,0.181574,0.284659,9.000000
29.000000,5.000000,11.730600,0.182172,0.181575,0.288305,8.000000
30.000000,5.000000,11.735468,0.182174,0.181576,0.281750,8.000000
31.000000,5.000000,11.742299,0.182176,0.181576,0.287206,8.000000
32.000000,5.000000,11.745974,0.182178,0.181576,0.287780,8.000000
33.000000,5.000000,11.745986,0.182176,0.181576,0.286367,8.000000
34.000000,5.000000,11.746409,0.182177,0.181577,0.286025,9.000000
35.000000,5.000000,11.747060,0.182174,0.181574,0.284384,9.000000
36.000000,5.000000,11.750846,0.182173,0.181573,0.283604,8.000000
37.000000,5.000000,11.759019,0.182174,0.181572,0.289877,9.000000
38.000000,5.000000,11.758400,0.182180,0.181571,0.278130,9.000000
39.000000,5.000000,11.749725,0.182171,0.181570,0.290724,8.000000
40.000000,5.000000,11.740797,0.182168,0.181571,0.285986,9.000000
0.000000,6.000000,11.778476,0.182190,0.181574,0.286180,8.000000
1.000000,6.000000,11.758889,0.090282,0.071216,0.113164,8.000000
2.000000,6.000000,11.762586,0.182186,0.181575,0.287889,9.000000
3.000000,6.000000,11.753898,0.182179,0.181574,0.283808,8.000000
4.000000,6.000000,11.743478,0.182181,0.181573,0.288642,8.000000
5.000000,6.000000,11.737243,0.182171,0.181571,0.286245,8.000000
6.000000,6.000000,11.727585,0.182164,0.181570,0.293416,9.000000
7.000000,6.000000,11.718524,0.182159,0.181567,0.291212,8.000000
8.000000,6.000000,11.713197,0.182157,0.181567,0.283134,8.000000
9.000000,6.000000,11.710634,0.182155,0.181566,0.279124,9.000000
10.000000,6.000000,11.716492,0.182155,0.181565,0.284432,9.000000
11.000000,6.000000,11.729422,0.182155,0.181563,0.286436,9.000000
12.000000,6.000000,11.747612,0.182166,0.181564,0.282936,9.000000
13.000000,6.000000,11.746845,0.081433,0.056908,0.076599,8.000000
14.000000,6.000000,11.750894,0.182165,0.181562,0.284968,9.000000
15.000000,6.000000,11.732636,0.182153,0.181562,0.284888,9.000000
16.000000,6.000000,11.716724,0.182151,0.181562,0.276827,9.000000
17.000000,6.000000,11.709139,0.182150,0.181562,0.284145,9.000000
18.000000,6.000000,11.707851,0.182152,0.181563,0.285531,8.000000
19.000000,6.000000,11.712251,0.182154,0.181564,0.286371,8.000000
20.000000,6.000000,11.719314,0.182155,0.181564,0.281765,8.000000
21.000000,6.000000,11.727978,0.182161,0.181566,0.285157,9.000000
22.000000,6.000000,11.730432,0.182171,0.181568,0.286805,9.000000
23.000000,6.000000,11.732957,0.182166,0.181568,0.287783,9.000000
24.000000,6.000000,11.727564,0.182164,0.181569,0.280703,8.000000
25.000000,6.000000,11.725446,0.182166,0.181571,0.288116,8.000000
26.000000,6.000000,11.723003,0.182168,0.181572,0.293900,8.000000
27.000000,6.000000,11.723321,0.182169,0.181573,0.283207,8.000000
28.000000,6.000000,11.725878,0.182169,0.181573,0.281427,8.000000
